scenario,fips,pr_pipc_2015,pr_pipc_2020,pr_pipc_2025,pr_pipc_2030,pr_pipc_2035,pr_pipc_2040,pr_pipc_2045,pr_pipc_2050,pr_pipc_2055,pr_pipc_2060,pr_pipc_2065,pr_pipc_2070
SSP1,1001,35.316,38.370,41.335,44.795,48.062,52.100,55.803,59.367,63.477,67.287,71.752,75.824
SSP1,1003,39.094,42.213,45.284,48.872,52.276,56.454,60.294,63.987,68.219,72.142,76.712,80.882
SSP1,1005,29.324,32.335,35.229,38.602,41.777,45.721,49.331,52.803,56.827,60.554,64.940,68.938
SSP1,1007,26.191,29.187,32.023,35.311,38.390,42.235,45.744,49.117,53.040,56.670,60.963,64.868
SSP1,1009,29.689,32.713,35.611,38.979,42.147,46.082,49.682,53.142,57.150,60.860,65.229,69.207
SSP1,1011,25.243,28.108,30.869,34.122,37.185,41.026,44.538,47.918,51.854,55.497,59.804,63.725
SSP1,1013,30.899,33.853,36.761,40.193,43.450,47.488,51.197,54.769,58.891,62.714,67.192,71.279
SSP1,1015,34.560,37.588,40.540,43.994,47.260,51.299,55.005,58.572,62.686,66.498,70.966,75.041
SSP1,1017,30.359,33.324,36.182,39.527,42.679,46.604,50.197,53.654,57.664,61.378,65.751,69.737
SSP1,1019,29.638,32.594,35.455,38.813,41.982,45.926,49.539,53.015,57.043,60.774,65.164,69.165
SSP1,1021,30.645,33.647,36.551,39.946,43.149,47.126,50.769,54.276,58.332,62.090,66.507,70.533
SSP1,1023,31.892,34.986,38.010,41.545,44.896,49.021,52.812,56.461,60.656,64.548,69.092,73.241
SSP1,1025,32.487,35.505,38.454,41.916,45.195,49.251,52.975,56.560,60.694,64.526,69.015,73.109
SSP1,1027,30.395,33.515,36.508,39.970,43.226,47.246,50.927,54.467,58.555,62.343,66.787,70.840
SSP1,1029,31.779,34.766,37.667,41.068,44.283,48.273,51.931,55.452,59.523,63.296,67.726,71.765
SSP1,1031,38.617,41.625,44.614,48.144,51.506,55.650,59.463,63.138,67.359,71.276,75.845,80.017
SSP1,1033,34.095,37.112,40.040,43.470,46.713,50.730,54.415,57.963,62.060,65.858,70.312,74.374
SSP1,1035,30.939,34.042,37.054,40.562,43.878,47.963,51.713,55.322,59.477,63.331,67.839,71.953
SSP1,1037,26.554,29.525,32.348,35.630,38.705,42.547,46.056,49.429,53.356,56.990,61.288,65.200
SSP1,1039,32.223,35.126,37.978,41.351,44.548,48.527,52.177,55.693,59.759,63.527,67.954,71.990
SSP1,1041,34.182,37.240,40.273,43.836,47.225,51.394,55.229,58.924,63.163,67.097,71.683,75.870
SSP1,1043,33.633,36.741,39.764,43.281,46.606,50.700,54.458,58.074,62.235,66.093,70.604,74.720
SSP1,1045,33.138,36.004,38.775,42.043,45.123,48.980,52.509,55.906,59.858,63.517,67.837,71.772
SSP1,1047,30.147,32.982,35.754,39.041,42.149,46.039,49.604,53.037,57.026,60.720,65.076,69.045
SSP1,1049,29.913,33.067,36.079,39.553,42.816,46.840,50.523,54.064,58.151,61.937,66.379,70.428
SSP1,1051,36.833,39.928,42.965,46.519,49.890,54.037,57.849,61.518,65.732,69.640,74.200,78.362
SSP1,1053,30.004,32.914,35.736,39.057,42.194,46.109,49.693,53.143,57.143,60.848,65.213,69.189
SSP1,1055,33.885,36.868,39.775,43.190,46.421,50.429,54.106,57.645,61.733,65.521,69.966,74.018
SSP1,1057,29.943,32.923,35.798,39.163,42.336,46.283,49.897,53.375,57.404,61.136,65.528,69.531
SSP1,1059,29.727,32.862,35.837,39.262,42.471,46.440,50.069,53.558,57.595,61.333,65.730,69.737
SSP1,1061,32.420,35.326,38.177,41.545,44.735,48.707,52.350,55.858,59.917,63.679,68.100,72.129
SSP1,1063,32.266,35.138,38.038,41.509,44.830,48.945,52.736,56.394,60.600,64.504,69.062,73.225
