scenario,fips,pr_pop_2015,pr_pop_2020,pr_pop_2025,pr_pop_2030,pr_pop_2035,pr_pop_2040,pr_pop_2045,pr_pop_2050,pr_pop_2055,pr_pop_2060,pr_pop_2065,pr_pop_2070
SSP1,1001,57.145,59.804,62.671,65.022,67.203,69.564,71.820,74.269,76.484,78.479,80.640,82.592
SSP1,1003,198.486,214.044,230.214,244.299,257.486,271.101,284.050,297.510,309.804,320.954,332.544,343.054
SSP1,1005,27.621,28.231,29.018,29.621,30.203,30.913,31.622,32.452,33.213,33.908,34.701,35.430
SSP1,1007,23.599,24.499,25.521,26.356,27.145,28.025,28.881,29.829,30.695,31.483,32.346,33.135
SSP1,1009,59.829,62.694,65.807,68.383,70.786,73.380,75.869,78.561,81.008,83.221,85.609,87.779
SSP1,1011,10.930,11.102,11.350,11.533,11.714,11.952,12.194,12.487,12.756,13.003,13.291,13.557
SSP1,1013,21.230,21.689,22.279,22.728,23.165,23.703,24.244,24.881,25.466,26.002,26.616,27.181
SSP1,1015,120.462,123.242,126.706,129.340,131.858,134.926,137.970,141.542,144.802,147.766,151.160,154.261
SSP1,1017,34.150,34.638,35.377,35.922,36.466,37.189,37.927,38.828,39.658,40.420,41.312,42.134
SSP1,1019,26.715,27.639,28.704,29.563,30.379,31.304,32.210,33.224,34.153,35.003,35.942,36.805
SSP1,1021,45.518,47.660,50.036,52.040,53.942,56.017,58.032,60.223,62.235,64.075,66.057,67.870
SSP1,1023,13.794,13.912,14.133,14.280,14.432,14.657,14.893,15.195,15.472,15.726,16.033,16.315
SSP1,1025,26.062,26.635,27.379,27.953,28.509,29.191,29.873,30.673,31.407,32.079,32.845,33.547
SSP1,1027,14.004,14.291,14.674,14.968,15.256,15.612,15.970,16.392,16.780,17.137,17.545,17.921
SSP1,1029,15.297,15.720,16.229,16.630,17.015,17.467,17.915,18.429,18.900,19.331,19.815,20.260
SSP1,1031,52.099,54.011,56.117,57.778,59.315,61.039,62.695,64.544,66.211,67.708,69.369,70.868
SSP1,1033,54.969,55.883,57.148,58.065,58.953,60.105,61.261,62.663,63.940,65.099,66.458,67.699
SSP1,1035,13.158,13.244,13.433,13.557,13.689,13.895,14.114,14.399,14.662,14.904,15.198,15.469
SSP1,1037,11.648,11.872,12.181,12.424,12.665,12.967,13.273,13.634,13.969,14.277,14.629,14.954
SSP1,1039,38.404,39.280,40.370,41.191,41.974,42.933,43.884,45.004,46.025,46.953,48.017,48.988
SSP1,1041,14.008,14.262,14.597,14.838,15.067,15.361,15.653,16.006,16.324,16.611,16.947,17.250
SSP1,1043,82.823,85.905,89.413,92.262,94.944,97.941,100.848,104.073,107.011,109.676,112.606,115.273
SSP1,1045,51.256,52.494,53.998,55.123,56.179,57.452,58.701,60.164,61.486,62.677,64.046,65.288
SSP1,1047,43.200,43.057,43.288,43.346,43.469,43.860,44.319,45.009,45.651,46.248,47.022,47.741
SSP1,1049,72.950,75.335,78.133,80.397,82.558,85.027,87.452,90.178,92.676,94.961,97.493,99.816
SSP1,1051,84.093,88.843,93.877,98.101,102.027,106.184,110.143,114.361,118.188,121.638,125.314,128.637
SSP1,1053,38.594,39.163,39.982,40.568,41.147,41.922,42.711,43.681,44.570,45.382,46.338,47.215
SSP1,1055,105.828,107.990,110.803,112.920,114.961,117.500,120.033,123.039,125.783,128.281,131.160,133.793
SSP1,1057,17.391,17.755,18.231,18.592,18.939,19.366,19.792,20.293,20.749,21.164,21.641,22.075
SSP1,1059,32.149,32.840,33.742,34.438,35.115,35.946,36.777,37.754,38.650,39.472,40.410,41.275
SSP1,1061,27.339,28.065,28.938,29.612,30.253,31.015,31.766,32.636,33.429,34.152,34.971,35.720
SSP1,1063,9.050,9.231,9.469,9.646,9.817,10.030,10.243,10.495,10.726,10.935,11.176,11.396
SSP1,1065,15.972,16.411,16.945,17.364,17.764,18.233,18.696,19.226,19.711,20.152,20.648,21.101
SSP1,1067,17.725,18.248,18.858,19.332,19.778,20.296,20.803,21.382,21.907,22.383,22.918,23.405
SSP1,1069,105.254,108.941,113.068,116.327,119.359,122.783,126.086,129.788,133.136,136.149,139.500,142.532
SSP1,1071,54.023,55.356,56.988,58.227,59.394,60.794,62.166,63.763,65.209,66.511,67.999,69.348
SSP1,1073,665.656,678.668,695.543,707.848,719.401,733.925,748.131,765.135,780.393,793.941,809.763,823.887
SSP1,1075,14.465,14.617,14.880,15.064,15.252,15.516,15.790,16.133,16.449,16.739,17.083,17.401
SSP1,1077,94.918,97.688,100.968,103.545,105.984,108.822,111.602,114.774,117.663,120.285,123.232,125.919
SSP1,1079,35.076,36.169,37.455,38.476,39.443,40.554,41.642,42.873,43.995,45.017,46.157,47.199
SSP1,1081,148.979,157.326,166.179,173.617,180.557,187.934,194.994,202.537,209.407,215.635,222.283,228.328
SSP1,1083,88.168,92.780,97.637,101.650,105.361,109.324,113.093,117.140,120.797,124.082,127.612,130.794
SSP1,1085,11.319,11.509,11.770,11.955,12.133,12.363,12.594,12.875,13.129,13.359,13.629,13.874
SSP1,1087,21.559,21.808,22.205,22.478,22.751,23.137,23.535,24.036,24.494,24.913,25.414,25.873
SSP1,1089,353.841,371.408,390.065,405.346,419.396,434.436,448.666,463.993,477.772,490.065,503.332,515.216
