FIPS,state_cd,state_name,county_cd,county_nm,year,EastWest,pop,inc.in.millions,AcresIrrig,DP.totalWithdrawals,DP.PercentSurfaceWater,DP.perUnit,DP.cu.ratio,DP.growth,DP.decay,IC.TotalWithdrawals,IC.PercentSurfaceWater,IC.perUnit,IC.growth,IC.decay,IC.cu.ratio,Ag.TotalWithdrawals,Ag.PercentSurface,AG.perUnit,AG.growth,AG.decay,TH.perUnit,LS.perUnit,TH.growth,LS.growth,TH.decay,LS.decay,TH.cu.ratio,LS.cu.ratio,AG.cu.ratio,AddClimateStuffWhenReady
1001,1,Alabama,1,Autauga County,2010,East,54.613,1745.944,1.95,3.54,0,64.82,0.111111111,-0.0066,-0.03,41.88175403,0.743521868,0.0240,-0.0331,-0.035,0.21047057,2.94,0.020408163,1507.692308,0,0,,,,,,,,,,
1003,1,Alabama,3,Baldwin County,2010,East,183.223,6573.237,13.04,13.66,0,74.55,0.27480916,-0.0066,-0.03,4.620731505,0,0.0007,-0.0331,-0.035,0.211711712,38.96,0.170944559,2987.730061,0,0,,,,,,,,,,
1005,1,Alabama,5,Barbour County,2010,East,27.341,710.597,3.30,2.05,0,74.98,0.091085271,-0.0066,-0.03,3.003119469,0,0.0042,-0.0331,-0.035,0.314465409,2.17,0.788018433,657.5757576,0,0,,,,,,,,,,
1007,1,Alabama,7,Bibb County,2010,East,22.883,520.815,0.40,1.84,0,80.41,0.17721519,-0.0066,-0.03,0.64404878,0,0.0012,-0.0331,-0.035,0.215827338,0.69,0.086956522,1725,0,0,,,,,,,,,,
1009,1,Alabama,9,Blount County,2010,East,57.352,1507.920,0.97,3.87,0.73562073,67.48,0.299862448,-0.0066,-0.03,0.932555397,0.955319539,0.0006,-0.0331,-0.035,0.206030151,0.48,0.75,494.8453608,0,0,,,,,,,,,,
1011,1,Alabama,11,Bullock County,2010,East,10.881,240.498,0.24,1.20,0,110.28,0.087179487,-0.0066,-0.03,1.079329609,0,0.0045,-0.0331,-0.035,0.21192053,0.61,0.524590164,2541.666667,0,0,,,,,,,,,,
1013,1,Alabama,13,Butler County,2010,East,20.944,583.637,0.44,1.62,0,77.35,0.171428571,-0.0066,-0.03,0.987272727,0,0.0017,-0.0331,-0.035,0.349514563,0.34,0.941176471,772.7272727,0,0,,,,,,,,,,
1015,1,Alabama,15,Calhoun County,2010,East,118.448,3709.425,3.35,9.91,0.100553046,83.67,0.104305371,-0.0066,-0.03,7.53645824,0.092364466,0.0020,-0.0331,-0.035,0.180081855,4.09,1,1220.895522,0,0,,,,,,,,,,
1017,1,Alabama,17,Chambers County,2010,East,34.110,924.261,0.39,2.82,0.74822695,82.67,0.140969163,-0.0066,-0.03,1.586729452,1,0.0017,-0.0331,-0.035,0.171080286,0.2,0.15,512.8205128,0,0,,,,,,,,,,
1019,1,Alabama,19,Cherokee County,2010,East,25.968,687.047,1.45,1.67,0.189420586,64.31,0.25,-0.0066,-0.03,0.268461538,0.275071633,0.0004,-0.0331,-0.035,0.208955224,1.24,1,855.1724138,0,0,,,,,,,,,,
1021,1,Alabama,21,Chilton County,2010,East,43.700,1197.291,0.77,3.48,0.29465482,79.63,0.276357827,-0.0066,-0.03,0.620874636,0.163270098,0.0005,-0.0331,-0.035,0.3507109,1.15,0.026086957,1493.506494,0,0,,,,,,,,,,
1023,1,Alabama,23,Choctaw County,2010,East,13.849,397.843,0.06,1.00,0,72.21,0.342679128,-0.0066,-0.03,40.92679245,0.995924615,0.1029,-0.0331,-0.035,0.123218967,0.03,1,500,0,0,,,,,,,,,,
1025,1,Alabama,25,Clarke County,2010,East,25.786,757.622,0.16,1.42,0.209255533,55.07,0.207188161,-0.0066,-0.03,21.70886719,0.951011881,0.0287,-0.0331,-0.035,0.210755149,0.07,0.714285714,437.5,0,0,,,,,,,,,,
1027,1,Alabama,27,Clay County,2010,East,13.886,373.053,0.10,0.97,0.505154639,69.85,0.440944882,-0.0066,-0.03,0.823851852,1,0.0022,-0.0331,-0.035,0.218390805,0.06,1,600,0,0,,,,,,,,,,
1029,1,Alabama,29,Cleburne County,2010,East,14.969,427.846,0.45,1.37,0.437956204,91.52,0.674641148,-0.0066,-0.03,0.192238806,1,0.0004,-0.0331,-0.035,0.238866397,0.16,1,355.5555556,0,0,,,,,,,,,,
1031,1,Alabama,31,Coffee County,2010,East,50.182,1787.714,4.86,4.29,0,85.49,0.145631068,-0.0066,-0.03,2.63018622,0,0.0015,-0.0331,-0.035,0.293413174,3.67,0.809264305,755.1440329,0,0,,,,,,,,,,
1033,1,Alabama,33,Colbert County,2010,East,54.506,1686.515,3.20,3.54,0.86382831,64.95,0.114488349,-0.0066,-0.03,71.85774704,0.99517547,0.0426,-0.0331,-0.035,0.121867882,2.19,0.593607306,684.375,0,0,,,,,,,,,,
1035,1,Alabama,35,Conecuh County,2010,East,13.218,365.208,0.19,0.80,0,60.52,0.261484099,-0.0066,-0.03,0.855974026,0,0.0023,-0.0331,-0.035,0.216,0.09,0.333333333,473.6842105,0,0,,,,,,,,,,
1037,1,Alabama,37,Coosa County,2010,East,11.563,266.940,0.08,1.01,0,87.35,0.252293578,-0.0066,-0.03,0.06,0,0.0002,-0.0331,-0.035,0.285714286,0.03,0.666666667,375,0,0,,,,,,,,,,
1039,1,Alabama,39,Covington County,2010,East,37.790,1103.918,1.88,2.45,0,64.83,0.252268603,-0.0066,-0.03,2.747547684,0,0.0025,-0.0331,-0.035,0.216748768,1.96,0.596938776,1042.553191,0,0,,,,,,,,,,
1041,1,Alabama,41,Crenshaw County,2010,East,13.867,429.716,0.68,0.88,0,63.46,0.163194444,-0.0066,-0.03,0.078846154,0,0.0002,-0.0331,-0.035,0.214285714,0.25,1,367.6470588,0,0,,,,,,,,,,
1043,1,Alabama,43,Cullman County,2010,East,80.449,2432.470,1.53,6.36,0.94738857,79.06,0.097935416,-0.0066,-0.03,7.847685251,0.934199747,0.0032,-0.0331,-0.035,0.313326551,2.25,0.52,1470.588235,0,0,,,,,,,,,,
1045,1,Alabama,45,Dale County,2010,East,50.341,1511.816,3.02,3.79,0,75.29,0.193442623,-0.0066,-0.03,0.689219713,0,0.0005,-0.0331,-0.035,0.218246869,2.16,0.597222222,715.2317881,0,0,,,,,,,,,,
