	CGC-A1B	CGC-A2	CGC-B2	CSIRO-A1B	CSIRO-A2	CSIRO-B2	MIROC-A1B	MIROC-A2	HAD-B2
2010	18.0712	17.559	17.1012	16.9682	17.4602	18.545	17.4868	17.2326	17.9674
2015	17.904	18.4158	16.73	17.2058	17.3752	17.639	19.4388	18.4486	19.0434
2020	18.0686	18.1312	18.0268	18.4594	17.0428	18.105	19.3024	18.8912	18.3888
2025	19.2914	19.3006	17.802	19.3818	18.4614	18.39	19.8258	19.9894	18.8788
2030	18.6024	18.6772	17.6438	18.407	18.7396	17.9772	20.079	20.9104	18.7144
2035	18.141	18.5138	18.8478	17.8824	17.7962	18.5832	21.0646	19.949	18.4326
2040	19.8344	19.8586	18.1872	18.6954	19.1684	18.564	20.9864	19.9282	19.6216
2045	17.9608	18.8696	19.7196	19.0778	19.3866	18.8444	21.6176	20.4178	20.8146
2050	20.1798	20.4494	19.0826	18.8034	19.494	18.9336	21.491	22.2188	19.5928
2055	19.5996	19.3148	17.7298	19.8778	18.6924	19.7156	20.2668	22.1112	21.1498
2060	19.3796	19.856	19.633	19.523	19.3488	18.5118	22.139	22.323	18.7852
2065	20.0126	20.8732	19.1922	19.2622	19.6402	19.8518	23.577	23.2486	20.095
2070	19.8956	20.6498	18.3666	20.2392	19.7556	18.749	23.2842	25.2272	20.415
2075	19.8172	21.6972	20.6878	19.651	19.7526	19.1508	23.8612	24.3046	20.7612
2080	20.766	21.0916	17.6538	19.3786	20.72	20.5108	23.1162	25.9114	20.7936
2085	20.9812	21.8768	20.3952	20.2804	20.3026	19.7772	23.7306	25.3892	20.8974
2090	20.37	21.928	19.63033333	20.13966667	21.16033333	20.91366667	23.59633333	25.993	20.58633333
2095	19.7588	21.9792	18.86546667	19.99893333	22.01806667	22.05013333	23.46206667	26.5968	20.27526667
2100	19.1476	22.0304	18.1006	19.8582	22.8758	23.1866	23.3278	27.2006	19.9642
