CGC-A1B																				
	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100	
1401	5.60	5.63	5.69	5.98	5.76	5.54	6.20	5.41	6.16	6.00	5.94	6.24	6.20	6.07	6.36	6.49	6.25	6.00	5.76	
1402	5.62	5.54	5.57	5.96	5.74	5.57	6.14	5.61	6.31	6.06	5.94	6.05	6.18	6.05	6.42	6.47	6.36	6.24	6.12	
1403	6.845	6.7334	6.8058	7.352	7.1062	7.0316	7.4934	6.9458	7.7128	7.54	7.499	7.729	7.5098	7.6926	7.9886	8.0232	7.769	7.5148	7.2606	
																				
CGC-A2																				
	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100	
1401	5.48	5.83	5.59	6.05	5.71	5.58	6.19	5.91	6.29	5.77	6.26	6.45	6.36	6.62	6.46	6.68	6.56	6.44	6.32	
1402	5.36	5.73	5.59	5.99	5.86	5.79	6.21	5.82	6.41	6.05	6.12	6.41	6.38	6.89	6.61	6.85	6.96	7.06	7.16	
1403	6.7174	6.8548	6.9592	7.2604	7.111	7.141	7.4638	7.1416	7.7524	7.5012	7.479	8.0174	7.9098	8.183	8.0256	8.3388	8.409333333	8.479866667	8.5504	
																				
CGC-B2																				
	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100	
1401	5.26	5.06	5.52	5.42	5.34	5.75	5.48	6.05	5.92	5.30	6.01	5.88	5.70	6.39	5.67	6.49	6.07	5.66	5.25	
1402	5.33	5.20	5.58	5.54	5.50	5.86	5.62	6.12	5.84	5.46	6.10	5.89	5.65	6.42	5.40	6.33	6.15	5.97	5.79	
1403	6.5204	6.4718	6.9188	6.8424	6.805	7.2438	7.0856	7.5454	7.3246	6.9652	7.5224	7.4264	7.0128	7.8816	6.5838	7.584	7.407666667	7.231333333	7.055	
																				
CSIRO-A1B																				
	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100	
1401	5.16	5.23	5.78	5.93	5.63	5.37	5.69	5.81	5.83	6.23	6.01	6.01	6.40	6.10	5.96	6.26	6.28	6.29	6.31	
