	CGC-A1B	CGC-A2	CGC-B2	CSIRO-A1B	CSIRO-A2	CSIRO-B2	MIROC-A1B	MIROC-A2	HAD-B2
2010	42.5	60.06	53.5	59.7	54.42	54.32	49.18	51.96	44.48
2015	58	51.84	56.64	55.12	50.8	53.12	40.46	52.86	50.06
2020	65.16	53.18	47.44	54.36	63.56	50.1	50.18	43.04	45
2025	53.5	50.62	50.84	47.18	46.56	66.9	47.68	45.64	41.24
2030	52.22	57.64	54.06	56.54	52.3	56.84	44.6	46.26	56.88
2035	59.18	53.94	51.56	51.76	57.96	60.34	45.7	47.92	48.42
2040	50.22	50.42	54.54	54.5	52.62	65.22	46.76	47.7	53.02
2045	53.86	67.68	48.92	53.68	52.24	64.8	46.9	49.36	44.4
2050	41.1	44.98	51.82	64.2	48.66	56.54	53.5	41.54	58
2055	61.86	42.74	54	61.42	57.94	59.24	49.42	46.82	53.48
2060	51.88	60.68	46.66	63.68	50.82	67.38	45.08	47.94	72.96
2065	53.92	48.92	51.96	56.5	60.42	53.82	32.28	41.96	47
2070	57.56	47.56	51.98	52.7	55.56	61.5	44.88	39.84	40.94
2075	46.12	45.16	45.34	71.48	57.7	70.2	41	37.34	46.62
2080	35.36	50.82	63.18	68.36	55.46	71.14	47.54	34.38	51.8
2085	52.32	46.86	49.14	57.08	57.18	65.92	43.76	40.32	49.72
2090	46.23333333	47.26666667	46.36666667	60.73333333	50.96666667	68.96666667	45.3	37.76666667	61.7
2095	40.14666667	47.67333333	43.59333333	64.38666667	44.75333333	72.01333333	46.84	35.21333333	73.68
2100	34.06	48.08	40.82	68.04	38.54	75.06	48.38	32.66	85.66
