wrr	wrr.name	division	year	pop	dp.wd	ic.wd	thermo.wd	irrig.wd	livestock.wd	dp.cu	ic.cu	thermo.cu	irrig.cu	livestock.cu	ls.wd	la.wd	ls.cu	la.cu
1	New_England	east	1960	10592301	739	1550	626	10	13	131.9615385	134	1	7	13	NA	NA	NA	NA
1	New_England	east	1965	11414582	820	1680	870	27	12	179.2066116	143	3	26	11	NA	NA	NA	NA
1	New_England	east	1970	11548097.76	886	1810	1936	80	12	151.965035	178.7857143	3	64	12	NA	NA	NA	NA
1	New_England	east	1975	11825801.75	942	2070	1925	57	9	144.2608696	137.2857143	96	57	9	NA	NA	NA	NA
1	New_England	east	1980	11999341.73	1131	1990	2220	53	9	161.0392157	115.3288591	21	52	9	NA	NA	NA	NA
1	New_England	east	1985	12356324.95	1039	1516	2311.45	25.6	44	130	338	32	25	30	NA	NA	NA	NA
1	New_England	east	1990	12821427.58	1173	1023	2402.9	119.8	8.1	124	109	34	120	7.4	7.5	0.6	6.8	0.6
1	New_England	east	1995	13047641.9	1095.47	778	1667.63	145.87	19.2	139.06	73.8	17.32	141.96	15.5	7.2	12	6	9.5
1	New_England	east	2000	13514293.97	1202.196484	1042.137462	1722.196803	175.08	116.51	NA	NA	NA	NA	NA	16.24	100.27	NA	NA
1	New_England	east	2005	13771884.64	1217.69664	993.6919443	1067.981416	182.7	141.42	NA	NA	NA	NA	NA	10.01	131.41	NA	NA
2	Mid_Atlantic	east	1960	33846499	2732	4770	8103	82	64	377.4986945	621.2604167	15	82	58	NA	NA	NA	NA
2	Mid_Atlantic	east	1965	36308205	2991	5270	10308	122	60	547.6327543	698.1100244	27	122	51	NA	NA	NA	NA
2	Mid_Atlantic	east	1970	38553831.26	3942	8300	15561	127	79	649.2307692	560.7692308	35	120	65	NA	NA	NA	NA
2	Mid_Atlantic	east	1975	39099964.1	4082	6200	14467	234	95	630.5660377	579.2592593	140	200	76	NA	NA	NA	NA
2	Mid_Atlantic	east	1980	39062057.25	4332	4900	14326	247	111	622.7777778	477.2222222	260	240	86	NA	NA	NA	NA
2	Mid_Atlantic	east	1985	40114254.85	4437	4930	14006.6	249.3	142	420	525	435	229	85	NA	NA	NA	NA
